numWords,train,condition,message,label,phonemes
1,train,ambiguous,1,artificial_11-2-11,11_2_11
1,train,ambiguous,1,artificial_8-15-7,8_15_7
1,train,ambiguous,2,artificial_7-6-15,7_6_15
1,train,ambiguous,2,artificial_13-10-9,13_10_9
1,train,ambiguous,3,artificial_9-6-15,9_6_15
1,train,ambiguous,3,artificial_1-17-11,1_17_11
1,train,ambiguous,4,artificial_9-8-16,9_8_16
1,train,ambiguous,4,artificial_0-10-1,0_10_1
1,train,ambiguous,5,artificial_10-10-11,10_10_11
1,train,ambiguous,5,artificial_16-5-14,16_5_14
1,train,ambiguous,6,artificial_1-14-12,1_14_12
1,train,ambiguous,6,artificial_8-3-9,8_3_9
1,train,ambiguous,7,artificial_8-0-13,8_0_13
1,train,ambiguous,7,artificial_16-10-16,16_10_16
1,train,ambiguous,8,artificial_12-12-12,12_12_12
1,train,ambiguous,8,artificial_6-11-4,6_11_4
1,train,ambiguous,9,artificial_3-12-2,3_12_2
1,train,ambiguous,9,artificial_4-7-1,4_7_1
1,train,ambiguous,10,artificial_9-5-0,9_5_0
1,train,ambiguous,10,artificial_17-1-10,17_1_10
1,train,unambiguous,11,artificial_11-2-17,11_2_17
1,train,unambiguous,12,artificial_8-15-4,8_15_4
1,train,unambiguous,13,artificial_7-6-17,7_6_17
1,train,unambiguous,14,artificial_13-10-2,13_10_2
1,train,unambiguous,15,artificial_9-6-16,9_6_16
1,train,unambiguous,16,artificial_1-17-0,1_17_0
1,train,unambiguous,17,artificial_9-8-6,9_8_6
1,train,unambiguous,18,artificial_0-10-7,0_10_7
1,train,unambiguous,19,artificial_10-10-13,10_10_13
1,train,unambiguous,20,artificial_16-5-4,16_5_4
1,train,unambiguous,21,artificial_1-14-17,1_14_17
1,train,unambiguous,22,artificial_8-3-4,8_3_4
1,train,unambiguous,23,artificial_8-0-14,8_0_14
1,train,unambiguous,24,artificial_16-10-17,16_10_17
1,train,unambiguous,25,artificial_12-12-14,12_12_14
1,train,unambiguous,26,artificial_6-11-17,6_11_17
1,train,unambiguous,27,artificial_3-12-13,3_12_13
1,train,unambiguous,28,artificial_4-7-11,4_7_11
1,train,unambiguous,29,artificial_9-5-2,9_5_2
1,train,unambiguous,30,artificial_17-1-14,17_1_14
